장기요양기관코드,기관유형코드,,,
11141000292,A03,,,
11144000012,A03,,,
11144000012,G31,,,
11144000012,G32,,,
11144000012,G33,,,
11144000211,A03,,,
11144000219,A03,,,
11147000005,A03,,,
11147000076,A04,,,
11147000093,A04,,,
11147000121,A03,,,
11147000124,A04,,,
11147000126,A04,,,
11147000136,A03,,,
11147000183,A03,,,
11147000221,A03,,,
11147000294,A04,,,
11147000322,A03,,,
11147000330,A03,,,
11147000330,G31,,,
11147000350,A03,,,
11147000362,A03,,,
11147000366,A03,,,
11147000383,A03,,,
11147000473,A03,,,
11147000539,A03,,,
11150000002,A03,,,
11150000003,A03,,,
11150000004,A03,,,
11150000008,A03,,,
11150000068,A03,,,
11150000154,A03,,,
11150000195,A04,,,
11150000238,A03,,,
11150000249,A03,,,
11150000257,A03,,,
11150000336,A03,,,
11150000339,A03,,,
11150000340,A03,,,
11150000376,A03,,,
11150000391,A03,,,
11150000399,A04,,,
11150000400,A04,,,
11150000401,A04,,,
11150000429,A04,,,
11150000437,A03,,,
11150000468,A03,,,
11150000518,A03,,,
11150000532,A04,,,
11150000554,A04,,,
11150000560,A04,,,
11150000561,A03,,,
11150000568,A03,,,
11150000571,A03,,,
11150000573,A04,,,
11150000582,A04,,,
11150000602,S41,,,
11150000624,A04,,,
11150000625,A03,,,
11153000103,A04,,,
11153000136,A03,,,
11153000208,A03,,,
11153000210,A03,,,
11153000215,A03,,,
11153000234,A03,,,
11153000246,A03,,,
11153000267,A03,,,
11153000320,A04,,,
11153000321,A04,,,
11153000336,A04,,,
11153000356,A03,,,
11153000358,A03,,,
11153000390,A03,,,
11153000424,A03,,,
11154500002,A03,,,
11154500008,A03,,,
11154500029,A03,,,
11154500096,A03,,,
11154500096,G31,,,
11154500096,G32,,,
11154500157,A03,,,
11154500164,A04,,,
11154500170,A03,,,
11154500184,A04,,,
11154500190,A04,,,
11154500200,A03,,,
11154500209,A03,,,
11154500213,A04,,,
11154500241,A03,,,
11154500251,A03,,,
11154500252,A04,,,
11154500253,A04,,,
11154500268,A03,,,
11154500269,A04,,,
11154500283,A03,,,
11154500285,A03,,,
11154500289,A04,,,
11154500301,A03,,,
11154500302,A03,,,
11156000001,A04,,,
11156000018,A03,,,
11156000018,G31,,,
11156000018,G32,,,
11156000023,A03,,,
11156000049,A04,,,
11156000057,A04,,,
11156000148,A04,,,
11156000150,A04,,,
11156000190,A04,,,
11156000191,A04,,,
11156000193,A04,,,
11156000194,A04,,,
11156000213,A04,,,
11156000264,A04,,,
11156000265,A04,,,
11156000266,A04,,,
11156000287,A04,,,
11156000295,A04,,,
11156000296,A04,,,
11156000297,A04,,,
11159000002,A04,,,
11159000004,A03,,,
11159000054,A04,,,
11159000060,A04,,,
11159000110,A03,,,
11159000178,A03,,,
11159000189,A03,,,
11159000214,A04,,,
11159000264,A03,,,
11159000281,A03,,,
11159000289,A03,,,
11162000002,A03,,,
11162000078,A03,,,
11162000099,A03,,,
11162000113,A03,,,
11162000189,A04,,,
11162000193,A03,,,
11162000223,A04,,,
11162000231,A04,,,
11162000250,A04,,,
11162000253,A03,,,
11162000268,A04,,,
11162000269,A04,,,
11162000349,A04,,,
11162000358,A03,,,
11162000367,A04,,,
11162000368,A04,,,
11162000372,A04,,,
11162000386,A04,,,
11162000387,A04,,,
11162000391,A04,,,
11162000393,A04,,,
11162000394,A04,,,
11162000418,A03,,,
11162000422,A03,,,
11162000428,A04,,,
11162000431,A04,,,
11162000437,A04,,,
11162000451,A04,,,
11162000452,A04,,,
11162000466,A03,,,
11165000083,A04,,,
11165000086,A03,,,
11165000098,A03,,,
11165000189,A03,,,
11165000189,G31,,,
11165000218,A03,,,
11168000009,A03,,,
11168000067,A03,,,
11168000082,A03,,,
11168000104,A03,,,
11168000127,S41,,,
11168000175,A03,,,
11168000175,G31,,,
11168000175,G32,,,
11168000180,A04,,,
11168000303,A04,,,
11168000312,A03,,,
11168000332,A03,,,
11171000016,A03,,,
11171000116,A03,,,
11171000123,A03,,,
11171000136,A03,,,
11171000139,A03,,,
11171000141,A04,,,
11171000144,A04,,,
11171000156,A04,,,
11171000172,A04,,,
11171000175,A04,,,
11171000191,A04,,,
11171000216,A03,,,
11171000280,A03,,,
11171000318,A03,,,
11171000318,G31,,,
11171000318,G32,,,
11171000385,A03,,,
11171000408,A04,,,
11171000409,A04,,,
11171000435,A04,,,
11171000436,A04,,,
11171000437,A04,,,
11171000438,A04,,,
11171000442,A04,,,
11171000463,A04,,,
11171000479,A03,,,
11174000123,A04,,,
11174000126,A03,,,
11174000156,A03,,,
11174000191,A03,,,
11174000195,A04,,,
11174000204,A04,,,
11174000208,A03,,,
11174000217,A04,,,
11174000218,A04,,,
11174000222,A04,,,
11174000228,A04,,,
11174000261,A03,,,
11174000290,A03,,,
11174000310,A04,,,
11174000311,A04,,,
11174000335,A04,,,
11174000336,A04,,,
11174000376,A03,,,
11174000386,A03,,,
11174000386,G31,,,
11174000386,G32,,,
11174000401,A03,,,
11174000422,A03,,,
12611000104,A03,,,
12614000008,A03,,,
12614000051,A03,,,
12614000053,A03,,,
12614000068,A03,,,
12617000001,A03,,,
12617000074,A03,,,
12617000090,A04,,,
12620000004,A03,,,
12620000004,M31,,,
12620000004,M32,,,
12620000120,A03,,,
12620000160,A03,,,
12623000001,A03,,,
12623000091,A04,,,
12623000149,A03,,,
12623000176,A03,,,
12623000178,A03,,,
12623000281,A04,,,
12623000294,A03,,,
12623000382,A03,,,
12623000409,A03,,,
12623000458,A03,,,
12626000004,A03,,,
12626000084,A03,,,
12626000106,A04,,,
12626000121,A03,,,
